text,wav
synthetic tone at 416 hertz number 0,data/audio/wav/000000.wav
synthetic tone at 417 hertz number 1,data/audio/wav/000001.wav
synthetic tone at 481 hertz number 2,data/audio/wav/000002.wav
synthetic tone at 467 hertz number 3,data/audio/wav/000003.wav
synthetic tone at 497 hertz number 4,data/audio/wav/000004.wav
synthetic tone at 439 hertz number 5,data/audio/wav/000005.wav
synthetic tone at 432 hertz number 6,data/audio/wav/000006.wav
synthetic tone at 498 hertz number 7,data/audio/wav/000007.wav
synthetic tone at 409 hertz number 8,data/audio/wav/000008.wav
synthetic tone at 445 hertz number 9,data/audio/wav/000009.wav
synthetic tone at 396 hertz number 10,data/audio/wav/000010.wav
synthetic tone at 462 hertz number 11,data/audio/wav/000011.wav
synthetic tone at 381 hertz number 12,data/audio/wav/000012.wav
synthetic tone at 346 hertz number 13,data/audio/wav/000013.wav
synthetic tone at 304 hertz number 14,data/audio/wav/000014.wav
synthetic tone at 455 hertz number 15,data/audio/wav/000015.wav
synthetic tone at 405 hertz number 16,data/audio/wav/000016.wav
synthetic tone at 478 hertz number 17,data/audio/wav/000017.wav
synthetic tone at 399 hertz number 18,data/audio/wav/000018.wav
synthetic tone at 453 hertz number 19,data/audio/wav/000019.wav
synthetic tone at 482 hertz number 20,data/audio/wav/000020.wav
synthetic tone at 319 hertz number 21,data/audio/wav/000021.wav
synthetic tone at 412 hertz number 22,data/audio/wav/000022.wav
synthetic tone at 458 hertz number 23,data/audio/wav/000023.wav
synthetic tone at 472 hertz number 24,data/audio/wav/000024.wav
synthetic tone at 416 hertz number 25,data/audio/wav/000025.wav
synthetic tone at 307 hertz number 26,data/audio/wav/000026.wav
synthetic tone at 367 hertz number 27,data/audio/wav/000027.wav
synthetic tone at 399 hertz number 28,data/audio/wav/000028.wav
synthetic tone at 324 hertz number 29,data/audio/wav/000029.wav
synthetic tone at 389 hertz number 30,data/audio/wav/000030.wav
synthetic tone at 403 hertz number 31,data/audio/wav/000031.wav
synthetic tone at 467 hertz number 32,data/audio/wav/000032.wav
synthetic tone at 382 hertz number 33,data/audio/wav/000033.wav
synthetic tone at 441 hertz number 34,data/audio/wav/000034.wav
synthetic tone at 477 hertz number 35,data/audio/wav/000035.wav
synthetic tone at 320 hertz number 36,data/audio/wav/000036.wav
synthetic tone at 437 hertz number 37,data/audio/wav/000037.wav
synthetic tone at 500 hertz number 38,data/audio/wav/000038.wav
synthetic tone at 367 hertz number 39,data/audio/wav/000039.wav
synthetic tone at 432 hertz number 40,data/audio/wav/000040.wav
synthetic tone at 320 hertz number 41,data/audio/wav/000041.wav
synthetic tone at 325 hertz number 42,data/audio/wav/000042.wav
synthetic tone at 308 hertz number 43,data/audio/wav/000043.wav
synthetic tone at 432 hertz number 44,data/audio/wav/000044.wav
synthetic tone at 373 hertz number 45,data/audio/wav/000045.wav
synthetic tone at 300 hertz number 46,data/audio/wav/000046.wav
synthetic tone at 340 hertz number 47,data/audio/wav/000047.wav
synthetic tone at 478 hertz number 48,data/audio/wav/000048.wav
synthetic tone at 344 hertz number 49,data/audio/wav/000049.wav
synthetic tone at 340 hertz number 50,data/audio/wav/000050.wav
synthetic tone at 362 hertz number 51,data/audio/wav/000051.wav
synthetic tone at 459 hertz number 52,data/audio/wav/000052.wav
synthetic tone at 306 hertz number 53,data/audio/wav/000053.wav
synthetic tone at 460 hertz number 54,data/audio/wav/000054.wav
synthetic tone at 311 hertz number 55,data/audio/wav/000055.wav
synthetic tone at 462 hertz number 56,data/audio/wav/000056.wav
synthetic tone at 343 hertz number 57,data/audio/wav/000057.wav
synthetic tone at 390 hertz number 58,data/audio/wav/000058.wav
synthetic tone at 407 hertz number 59,data/audio/wav/000059.wav
synthetic tone at 444 hertz number 60,data/audio/wav/000060.wav
synthetic tone at 444 hertz number 61,data/audio/wav/000061.wav
synthetic tone at 341 hertz number 62,data/audio/wav/000062.wav
synthetic tone at 301 hertz number 63,data/audio/wav/000063.wav
synthetic tone at 483 hertz number 64,data/audio/wav/000064.wav
synthetic tone at 338 hertz number 65,data/audio/wav/000065.wav
synthetic tone at 382 hertz number 66,data/audio/wav/000066.wav
synthetic tone at 309 hertz number 67,data/audio/wav/000067.wav
synthetic tone at 328 hertz number 68,data/audio/wav/000068.wav
synthetic tone at 337 hertz number 69,data/audio/wav/000069.wav
synthetic tone at 472 hertz number 70,data/audio/wav/000070.wav
synthetic tone at 306 hertz number 71,data/audio/wav/000071.wav
synthetic tone at 445 hertz number 72,data/audio/wav/000072.wav
synthetic tone at 385 hertz number 73,data/audio/wav/000073.wav
synthetic tone at 335 hertz number 74,data/audio/wav/000074.wav
synthetic tone at 355 hertz number 75,data/audio/wav/000075.wav
synthetic tone at 318 hertz number 76,data/audio/wav/000076.wav
synthetic tone at 444 hertz number 77,data/audio/wav/000077.wav
synthetic tone at 324 hertz number 78,data/audio/wav/000078.wav
synthetic tone at 411 hertz number 79,data/audio/wav/000079.wav
synthetic tone at 397 hertz number 80,data/audio/wav/000080.wav
synthetic tone at 401 hertz number 81,data/audio/wav/000081.wav
synthetic tone at 423 hertz number 82,data/audio/wav/000082.wav
synthetic tone at 448 hertz number 83,data/audio/wav/000083.wav
synthetic tone at 364 hertz number 84,data/audio/wav/000084.wav
synthetic tone at 434 hertz number 85,data/audio/wav/000085.wav
synthetic tone at 305 hertz number 86,data/audio/wav/000086.wav
synthetic tone at 499 hertz number 87,data/audio/wav/000087.wav
synthetic tone at 360 hertz number 88,data/audio/wav/000088.wav
synthetic tone at 456 hertz number 89,data/audio/wav/000089.wav
synthetic tone at 400 hertz number 90,data/audio/wav/000090.wav
synthetic tone at 327 hertz number 91,data/audio/wav/000091.wav
synthetic tone at 312 hertz number 92,data/audio/wav/000092.wav
synthetic tone at 400 hertz number 93,data/audio/wav/000093.wav
synthetic tone at 407 hertz number 94,data/audio/wav/000094.wav
synthetic tone at 400 hertz number 95,data/audio/wav/000095.wav
synthetic tone at 326 hertz number 96,data/audio/wav/000096.wav
